,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,8.65,False,False,False,False,True,0,83,6.34,0,True,False,15.33,1,LAG_PERF,False,False,False,10.48,Pharmaceuticals,False,0.34,0,False,A
Value,False,False,False,12.31,False,False,False,False,False,0,46,5.38,0,False,False,29.22,2,,False,False,False,58.47,Transportation,False,11.53,0,False,AAL
Value,False,False,False,9.17,False,False,False,False,False,0,57,3.7,0,False,False,12.97,2,LAG_PERF,False,False,False,5.74,Retailing,False,0.1,0,False,AAP
Value,False,False,False,6.86,False,False,False,False,False,0,55,8.76,0,False,False,16.27,3,LAG_PERF,False,False,False,12.87,Technology Hardware,False,0.65,0,False,AAPL
Value,False,False,False,16.92,False,False,False,False,True,0,83,9.98,0,True,False,28.01,3,,False,False,False,53.78,Pharmaceuticals,False,1.12,0,False,ABBV
Value,False,False,False,6.35,False,False,False,False,False,0,58,5.5,0,True,False,12.69,3,LAG_PERF,False,False,False,5.25,Healthcare,False,0.84,0,False,ABC
Value,False,False,False,13.54,False,False,False,False,True,0,58,9.39,0,True,False,25.96,3,,False,False,False,46.02,Healthcare,False,3.03,0,False,ABT
Value,False,False,False,4.32,False,False,False,False,False,0,105,4.83,0,False,False,9.45,2,,False,False,False,1.88,Software & Services,False,0.29,0,False,ACN
Value,False,False,False,5.65,False,False,False,False,False,0,105,4.64,0,False,False,10.78,1,LAG_PERF,False,False,False,2.83,Software & Services,False,0.48,0,False,ADBE
Value,False,False,False,7.53,False,False,False,False,False,0,31,7.03,0,False,False,23.82,0,,False,False,False,37.54,Semiconductors,False,9.25,0,True,ADI
Value,False,False,False,13.16,False,False,False,False,False,0,94,5.04,0,True,False,36.42,3,LEAD_PERF,False,False,False,81.21,Food Products,False,18.23,0,False,ADM
Value,False,False,False,7.18,False,False,False,False,False,0,105,5.94,0,False,False,14.18,1,LAG_PERF,False,False,False,8.22,Software & Services,False,1.07,0,False,ADP
Value,False,False,False,9.22,False,False,False,False,False,0,105,4.87,0,False,False,15.45,0,LAG_PERF,False,False,False,10.77,Software & Services,False,1.37,0,False,ADSK
Value,False,False,False,7.63,True,False,False,False,False,0,107,5.69,0,False,False,29.05,2,,True,False,False,57.76,Utilities,False,15.74,0,False,AEE
Value,False,False,False,7.16,True,False,False,False,False,0,107,5.56,0,False,False,30.55,2,LEAD_PERF,True,False,False,63.21,Utilities,False,17.83,0,False,AEP
Value,False,False,False,8.31,False,False,False,False,False,0,107,5.95,0,False,False,35.05,2,LEAD_PERF,True,False,False,77.35,Utilities,False,20.79,0,False,AES
Value,False,False,False,7.26,False,False,False,False,False,0,97,9.57,0,False,False,17.3,2,LAG_PERF,False,False,False,15.64,Insurance,False,0.47,0,False,AFL
Value,False,False,False,10.81,False,False,False,False,False,0,97,14.71,0,False,False,27.39,2,,False,False,False,51.29,Insurance,False,1.87,0,False,AIG
Value,False,False,False,10.1,False,False,False,False,False,0,97,12.81,0,False,False,24.57,3,,False,False,False,40.56,Insurance,False,1.66,0,False,AIZ
Value,False,False,False,9.18,False,False,False,False,False,0,97,12.49,0,False,False,21.79,2,,False,False,False,30.06,Insurance,False,0.13,0,False,AJG
Value,False,False,False,10.35,False,False,False,False,False,0,105,7.66,0,False,False,19.94,1,LAG_PERF,False,False,False,23.77,Software & Services,False,1.93,0,False,AKAM
Value,False,False,False,5.58,False,False,False,False,False,0,77,7.96,0,True,False,29.4,2,,False,False,False,59.06,Chemicals,False,15.86,0,False,ALB
Value,False,False,False,7.7,False,False,False,False,False,0,97,11.39,0,False,False,20.84,2,,False,False,False,26.9,Insurance,False,1.74,0,False,ALL
Value,False,False,False,4.54,False,False,False,False,False,0,14,6.3,0,False,False,23.59,0,,False,False,False,36.78,Building Products,False,12.75,0,False,ALLE
Value,False,False,False,2.62,False,False,False,False,False,0,31,5.13,0,False,False,11.6,1,LAG_PERF,False,False,False,3.71,Semiconductors,False,3.84,0,False,AMAT
Value,False,False,False,9.95,False,False,False,False,False,0,19,7.69,0,False,False,25.95,1,,False,False,False,46,Electrical Equipment,False,8.32,0,True,AME
Value,False,False,False,12.8,False,False,False,False,True,0,83,6.12,0,True,False,18.95,2,LAG_PERF,False,False,False,20.66,Pharmaceuticals,False,0.03,0,False,AMGN
Value,False,False,False,7.54,False,False,False,False,False,0,89,12.29,0,False,False,22.63,2,,False,False,False,33.18,Diversified Financials,False,2.8,0,False,AMP
Value,False,False,False,3.44,False,False,False,False,False,0,108,5,0,False,False,10.87,0,LAG_PERF,False,False,False,2.92,Real Estate,False,2.43,0,False,AMT
Value,False,False,False,14.25,False,False,False,False,False,0,57,9.84,0,False,False,30.03,3,LEAD_PERF,False,False,False,61.58,Retailing,False,5.95,0,False,AMZN
Value,False,False,False,9.06,False,False,False,False,False,0,55,8.34,0,False,False,17.8,1,LAG_PERF,False,False,False,17.2,Technology Hardware,False,0.4,0,False,ANET
Value,False,False,False,7.32,False,False,False,False,False,0,105,4.97,0,False,False,13.16,0,LAG_PERF,False,False,False,6.14,Software & Services,False,0.86,0,False,ANSS
Value,False,False,False,5.76,False,False,False,False,False,0,58,5.8,0,False,False,11.59,2,LAG_PERF,False,False,False,3.71,Healthcare,False,0.03,0,False,ANTM
Value,False,False,False,11.61,False,False,False,False,False,0,54,6.47,0,False,False,25.2,2,,False,False,False,42.98,Machinery,False,7.12,0,False,AOS
Value,False,False,False,1.28,False,False,False,False,False,0,77,3.59,0,False,False,10.81,1,LAG_PERF,False,False,False,2.86,Chemicals,False,5.94,0,False,APD
Value,False,False,False,5.52,False,False,False,False,False,0,55,8.04,0,False,False,21.6,2,,False,False,False,29.39,Technology Hardware,False,8.04,0,True,APH
Value,False,False,False,4.59,False,False,False,False,False,0,25,5.18,0,False,False,13.49,1,LAG_PERF,False,False,False,6.78,Auto Components,False,3.73,0,False,APTV
Value,False,False,False,6.27,False,False,False,False,False,0,108,5.9,0,False,False,15.15,0,LAG_PERF,False,False,False,10.03,Real Estate,False,2.98,0,False,ARE
Value,False,False,False,12.31,False,False,False,False,False,0,107,6.67,0,False,False,31.78,2,LEAD_PERF,False,False,False,67.35,Utilities,False,12.8,0,False,ATO
